Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL1829257,481.65,0,4.21,CCC(c1nc2ccsc2c(=O)n1Cc1cscn1)N(CCCN)C(=O)c1ccc(C)cc1,5.04
CHEMBL592518,414.3,0,3.46,NCCC(=O)N1CCc2c([nH]c3ccc(Br)cc23)C1c1cccc(O)c1,7.57
CHEMBL589879,353.4,0,2.84,NCCC(=O)N1CCc2c([nH]c3ccc(F)cc23)C1c1cccc(O)c1,6.12
CHEMBL1078893,339.45,1,5.76,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1F)N2,6.77
CHEMBL1829409,490.63,0,4.46,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(OC)cc1,6.68
CHEMBL1829256,479.61,0,4.05,CCC(c1nc2ccsc2c(=O)n1Cc1cc(C)on1)N(CCCN)C(=O)c1ccc(C)cc1,6.2
CHEMBL1829418,516.69,2,5.66,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1cc2ccccc2s1,7.4
CHEMBL51483,518.56,3,6.38,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.97
CHEMBL3633365,457.52,1,5.24,N[C@@H](CSC1(c2ccc(C(F)(F)F)cc2)c2ccccc2CCc2ccccc21)C(=O)O,7.68
CHEMBL204459,354.4,0,3.67,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,8.7
CHEMBL2347654,387.44,0,4.22,Cc1ccc(C(=O)N2CCc3cc4c(cc3C2c2cccc(O)c2)OCO4)cc1,7.22
CHEMBL429597,377.51,0,4.43,Cc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,7.21
CHEMBL3085794,502.36,2,6.1,COc1ccc(-c2coc3cc(Oc4c([N+](=O)[O-])cc([N+](=O)[O-])cc4C(F)(F)F)ccc3c2=O)cc1,6.77
CHEMBL3087420,738.42,3,8.42,O=c1cc(-c2ccccc2)oc2cc(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])c(Oc3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])c(O)c12,7.42
CHEMBL1829255,475.62,0,4.15,CCC(c1nc2ccsc2c(=O)n1Cc1ccncc1)N(CCCN)C(=O)c1ccc(C)cc1,5.28
CHEMBL1829407,488.66,1,5.01,CCc1ccc(C(=O)N(CCCN)C(CC)c2nc3ccsc3c(=O)n2Cc2ccccc2)cc1,7.05
CHEMBL1829251,504.66,1,4.77,CCC(c1nc2ccsc2c(=O)n1Cc1ccc(OC)cc1)N(CCCN)C(=O)c1ccc(C)cc1,6.8
CHEMBL1829414,451.55,0,3.44,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccno1,5.86
CHEMBL1089056,321.46,1,5.62,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,6.92
CHEMBL2043407,351.49,1,5,NCCSC(Cc1ccccc1)(c1ccccc1)c1ccc(F)cc1,6.24
CHEMBL1277016,404.42,0,4.96,CC1=C(C(=O)Nc2ccc(C(F)(F)F)cc2)C(c2cccs2)c2c[nH]nc2N1,6.5
CHEMBL1082249,476.39,0,4.32,CC(=O)NCCNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,8.22
CHEMBL1276930,366.45,0,3.95,COc1ccc(NC(=O)C2=C(C)Nc3n[nH]cc3C2c2cccs2)cc1,8.6
CHEMBL1276845,348.38,0,4.02,CC1=C(C(=O)Nc2ccc(F)cc2)C(c2ccccc2)c2c[nH]nc2N1,6.85
CHEMBL4246367,456.98,0,4.64,CC(=O)N1N=C(NC2=NC(=O)/C(=C/c3ccccc3Cl)S2)SC1(C)c1ccccc1,4.88
CHEMBL397799,264.31,0,1.27,CC1=C(C(=O)O)C(c2cccc(O)c2)NC(=S)N1,4.14
CHEMBL240923,435.47,0,4.61,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CC[C@@H](N)C(F)F)c1ccccc1,8.28
CHEMBL3735751,313.33,0,2.14,CC(=O)NC1=NN(C(C)=O)C(C)(c2cc(F)ccc2F)S1,6.08
CHEMBL1818754,394.52,1,5.78,O=c1c(Cc2ccccc2)c(-c2ccccc2)[nH]c2ccc(N3CCCCC3)cc12,6.84
CHEMBL1818769,399.49,0,4.16,O=C1c2cc(N3CCOCC3)ccc2NC(Cc2ccccc2)N1c1ccccc1,4.43
CHEMBL1818771,415.49,0,3.87,O=C1c2cc(N3CCOCC3)ccc2NC(Cc2ccccc2)N1c1ccc(O)cc1,5.56
CHEMBL1818751,409.53,0,4.54,CN1CCN(c2ccc3[nH]c(-c4ccccc4)c(Cc4ccccc4)c(=O)c3c2)CC1,5.4
CHEMBL243215,332.3,0,2.69,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1O,6.46
CHEMBL244075,304.28,0,3.58,N#C/N=C(\N)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,6.08
CHEMBL206967,345.35,0,2.6,CNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CO)c1ccccc1,6.04
CHEMBL427676,440.52,0,0.77,CC1=C(C(=O)OCCOCCOCCOCCO)C(c2cccc(O)c2)NC(=S)N1,4.64
CHEMBL240050,339.25,None,None,CCOC(=O)C1=C(C)NC(=[Se])NC1c1cccc(O)c1,4.94
CHEMBL601305,334.42,0,4.07,CCC(=O)N1CCc2c([nH]c3ccc(C)cc23)C1c1cccc(O)c1,6.34
CHEMBL232258,449.49,0,4.88,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CCCNCC(F)F)c1ccccc1,7.92
CHEMBL389082,413.51,0,4.63,CCNCCC[C@@]1(c2ccccc2)C=C(c2cc(F)ccc2F)CN1C(=O)N(C)C,7.99
CHEMBL1078572,351.34,1,5.48,Fc1cc(C(F)(F)F)cc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,7.05
CHEMBL589393,333.44,0,3.3,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)CCN)C3c1ccccc1,6.76
